x y z nx ny nz
-0.043117 0.007895 0.631345 -0.089913 -0.977732 0.189619
-0.036117 0.007805 0.630956 -0.032741 -0.996835 0.072440
-0.027920 0.007784 0.631203 -0.002963 -0.999518 0.030919
-0.021088 0.007908 0.631371 0.024772 -0.999592 -0.014238
-0.065071 0.014646 0.630938 -0.694674 -0.684272 0.221811
-0.059960 0.011749 0.631003 -0.384772 -0.897631 0.214961
-0.051937 0.009567 0.631046 -0.158460 -0.969672 0.186081
-0.044351 0.008870 0.630972 -0.082392 -0.986438 0.141959
-0.035930 0.008559 0.630924 -0.031235 -0.998233 0.050554
-0.028346 0.008507 0.631034 0.000663 -0.999951 -0.009918
-0.019872 0.008716 0.631027 0.025259 -0.999490 -0.019529
-0.011870 0.008945 0.630848 0.057334 -0.997790 -0.033599
-0.003839 0.009349 0.631026 0.109279 -0.993756 -0.022543
0.003937 0.010504 0.631092 0.198580 -0.980031 -0.010268
0.011969 0.012545 0.631056 0.362201 -0.931869 -0.020732
0.017190 0.014848 0.631120 0.585979 -0.808268 -0.057728
-0.068282 0.019793 0.631057 -0.854812 -0.442282 0.271448
0.021046 0.019567 0.630965 0.856041 -0.513272 -0.061193
-0.070978 0.027921 0.631054 -0.943724 -0.219348 0.247532
0.023573 0.026743 0.630922 0.971843 -0.227457 -0.061516
0.024451 0.029303 0.630994 0.984352 -0.162564 -0.067998
-0.072344 0.036583 0.631013 -0.972078 -0.072621 0.223138
-0.071747 0.035098 0.631338 -0.936232 -0.092758 0.338917
0.024944 0.035609 0.630899 0.994495 -0.074892 -0.073284
-0.072383 0.043648 0.630861 -0.981196 0.031990 0.190344
-0.071795 0.045930 0.631159 -0.953345 0.059783 0.295905
0.025179 0.044148 0.631016 0.996879 0.023400 -0.075392
-0.072154 0.049364 0.631144 -0.971792 0.093951 0.216319
-0.071482 0.052373 0.630956 -0.963802 0.145302 0.223547
0.023786 0.054501 0.631031 0.976657 0.199534 -0.079542
0.024776 0.051570 0.630911 0.990493 0.118307 -0.070197
-0.069945 0.059522 0.631060 -0.928366 0.278630 0.245973
0.022754 0.060113 0.631154 0.920597 0.385335 -0.063384
0.024200 0.056582 0.630937 0.968722 0.240472 -0.061242
-0.066375 0.067317 0.631328 -0.791428 0.542749 0.281187
-0.062209 0.070967 0.630810 -0.540307 0.797949 0.267106
0.005683 0.071608 0.630751 0.218635 0.975793 0.005187
0.012150 0.070048 0.630961 0.359665 0.933019 -0.010764
0.018960 0.066349 0.631082 0.665070 0.745299 -0.047012
-0.058452 0.072989 0.630964 -0.350946 0.912655 0.209517
-0.051685 0.074459 0.631007 -0.163740 0.962555 0.216049
-0.044023 0.074850 0.630961 -0.076691 0.980418 0.181381
-0.035906 0.075126 0.630868 -0.028270 0.995493 0.090522
-0.028147 0.074893 0.630972 0.007084 0.999471 0.031748
-0.020489 0.074776 0.630967 0.029759 0.999557 -0.000342
-0.012078 0.074417 0.630930 0.069801 0.997034 -0.032432
-0.003835 0.073739 0.630937 0.118872 0.992588 -0.025288
0.003103 0.072575 0.631059 0.180488 0.983577 -0.000197
-0.043091 0.007902 0.633790 -0.094491 -0.976727 0.192551
-0.035726 0.007780 0.634333 -0.050168 -0.989454 0.135881
-0.028254 0.007795 0.635300 -0.020123 -0.993951 0.107969
-0.020624 0.007791 0.635863 0.010544 -0.996963 0.077154
-0.013821 0.007862 0.636523 0.041402 -0.996800 0.068376
-0.064829 0.014851 0.633965 -0.617229 -0.655144 0.435678
-0.059754 0.013235 0.636058 -0.401462 -0.796615 0.451922
-0.052105 0.011041 0.636287 -0.187215 -0.912069 0.364801
-0.044188 0.009827 0.636499 -0.123600 -0.946729 0.297369
-0.036093 0.009121 0.636673 -0.075388 -0.973192 0.217290
-0.027994 0.008863 0.637086 -0.032831 -0.986731 0.159007
-0.020015 0.008705 0.636959 0.005202 -0.993900 0.110160
-0.011942 0.008757 0.636679 0.046034 -0.996127 0.074912
-0.004039 0.009239 0.636389 0.105030 -0.993333 0.047518
0.003968 0.010450 0.636052 0.199684 -0.979707 0.017304
0.012084 0.012635 0.636017 0.353883 -0.935282 0.003787
0.017397 0.015008 0.636238 0.587054 -0.809447 -0.012806
-0.066607 0.020333 0.635869 -0.742090 -0.398453 0.539016
-0.062640 0.017884 0.638374 -0.664743 -0.536393 0.520000
0.021392 0.019820 0.636057 0.868231 -0.495332 -0.028635
-0.072380 0.029147 0.633897 -0.738487 -0.352369 0.574868
-0.068838 0.027805 0.636357 -0.823160 -0.213836 0.526006
0.023605 0.025787 0.635958 0.961980 -0.269068 -0.046873
0.024586 0.029100 0.636203 0.983242 -0.174662 -0.052229
-0.072301 0.036857 0.633270 -0.925762 -0.068389 0.371871
-0.069848 0.035850 0.636756 -0.847782 -0.074907 0.525028
0.025311 0.036014 0.635986 0.995409 -0.068774 -0.066560
-0.072327 0.043664 0.633358 -0.926784 0.024877 0.374769
-0.069886 0.044097 0.636923 -0.844988 0.036161 0.533561
0.025518 0.043981 0.635977 0.997464 0.021496 -0.067848
-0.072197 0.049071 0.632765 -0.925171 0.085451 0.369807
-0.069432 0.052088 0.636418 -0.841307 0.137394 0.522805
0.023803 0.055354 0.635071 0.974023 0.220331 -0.052289
0.024953 0.051913 0.636037 0.988179 0.143043 -0.055145
-0.067567 0.059904 0.636253 -0.796585 0.284677 0.533302
-0.063450 0.062944 0.639082 -0.780072 0.446639 0.438179
0.022697 0.060631 0.635873 0.917072 0.397354 -0.032990
0.024314 0.057039 0.636774 0.941476 0.335407 -0.033543
-0.065716 0.066417 0.634924 -0.725217 0.455508 0.516307
-0.060957 0.068968 0.636926 -0.545234 0.674468 0.497808
-0.052917 0.071162 0.638258 -0.244956 0.908052 0.339761
-0.046173 0.071691 0.638796 -0.157752 0.952044 0.262159
0.005841 0.071633 0.636279 0.215112 0.976208 0.027297
0.012104 0.070031 0.635912 0.323689 0.946066 0.013564
0.018909 0.066358 0.636138 0.664405 0.747341 -0.006953
-0.058051 0.072864 0.634043 -0.336844 0.861101 0.380842
-0.051891 0.073403 0.635486 -0.210465 0.903857 0.372488
-0.044054 0.074039 0.636291 -0.121080 0.952825 0.278322
-0.036126 0.074607 0.636253 -0.061353 0.979371 0.192533
-0.028221 0.074834 0.636566 -0.018977 0.991692 0.127228
