x y z nx ny nz
-0.041767 -0.042168 0.631420 -0.608177 -0.650353 -0.455149
-0.036200 -0.045567 0.631469 -0.408563 -0.823113 -0.394412
-0.024365 -0.047924 0.631390 0.277584 -0.874374 -0.398016
-0.019955 -0.046208 0.631414 0.413703 -0.818816 -0.397981
-0.013871 -0.042511 0.631276 0.612645 -0.673775 -0.413151
-0.045754 -0.037684 0.631491 -0.753635 -0.454658 -0.474680
-0.008857 -0.036357 0.631119 0.862457 -0.452705 -0.226332
-0.007517 -0.033072 0.631299 0.922264 -0.259840 -0.286203
-0.049219 -0.027377 0.631403 -0.915962 -0.097427 -0.389259
-0.006647 -0.028108 0.631309 0.909506 -0.063159 -0.410866
-0.048768 -0.021792 0.631482 -0.890341 0.167627 -0.423313
-0.047535 -0.018170 0.631904 -0.804680 0.328417 -0.494603
-0.008339 -0.017157 0.631327 0.850351 0.314642 -0.421785
-0.006938 -0.021659 0.631530 0.886130 0.160149 -0.434886
-0.043016 -0.010690 0.631505 -0.706820 0.670414 -0.225722
-0.012129 -0.011920 0.631466 0.675618 0.612953 -0.409668
-0.035705 -0.005763 0.631331 -0.369131 0.907218 -0.201738
-0.028762 -0.004246 0.631483 -0.062762 0.952494 -0.298020
-0.021603 -0.005518 0.631396 0.215503 0.874237 -0.435049
-0.035710 -0.049324 0.638842 -0.315720 -0.921507 0.226156
-0.028027 -0.050335 0.638467 0.028360 -0.888857 0.457306
-0.020069 -0.049444 0.638828 0.322900 -0.893879 0.310991
-0.015789 -0.048129 0.637985 0.487355 -0.846388 -0.214739
-0.048200 -0.040350 0.639358 -0.793733 -0.590399 0.146342
-0.043707 -0.043692 0.638218 -0.595769 -0.694533 0.403339
-0.036532 -0.044294 0.637856 0.008925 0.026179 0.999617
-0.028136 -0.043648 0.637806 0.000711 0.054906 0.998491
-0.019492 -0.044036 0.637511 0.031818 -0.007126 0.999468
-0.012052 -0.043642 0.637896 0.617798 -0.676559 0.400741
-0.007812 -0.040906 0.638613 0.810751 -0.578054 0.092392
-0.050106 -0.035242 0.638200 -0.875813 -0.421578 0.234997
-0.044758 -0.035699 0.636700 -0.120252 -0.042917 0.991815
-0.036277 -0.034941 0.637722 0.006239 0.003272 0.999975
-0.028244 -0.034831 0.637693 -0.003701 0.004402 0.999983
-0.019968 -0.035074 0.637762 0.002831 0.011037 0.999935
-0.011659 -0.036124 0.636891 0.110274 -0.033822 0.993326
-0.005995 -0.035852 0.637990 0.916543 -0.378442 0.129348
-0.050613 -0.027692 0.637040 -0.869344 -0.069930 0.489235
-0.043640 -0.027748 0.637682 0.009461 -0.006014 0.999937
-0.035888 -0.027944 0.637619 0.001584 -0.008879 0.999959
-0.028075 -0.028170 0.637645 -0.000676 -0.005141 0.999987
-0.020056 -0.027626 0.637628 -0.001051 -0.005068 0.999987
-0.012270 -0.027859 0.637711 -0.012417 -0.006496 0.999902
-0.005282 -0.027639 0.636901 0.887965 -0.060644 0.455896
-0.050309 -0.020286 0.637574 -0.457942 0.018397 0.888792
-0.044096 -0.019786 0.637465 -0.055288 0.020140 0.998267
-0.035768 -0.019753 0.637688 0.018375 -0.005508 0.999816
-0.028164 -0.019770 0.637633 -0.002387 -0.000730 0.999997
-0.019957 -0.020036 0.637670 -0.006589 -0.009545 0.999933
-0.011839 -0.019687 0.637593 0.011805 0.004791 0.999919
-0.005954 -0.020204 0.637689 -0.004226 0.005213 0.999977
-0.049245 -0.014183 0.638750 -0.855335 0.365413 0.367254
-0.043927 -0.011931 0.637093 -0.164926 0.123627 0.978527
-0.035978 -0.011973 0.637736 0.006280 -0.018461 0.999810
-0.028070 -0.011899 0.637693 -0.002648 -0.013333 0.999908
-0.019832 -0.011938 0.637765 -0.007806 -0.012444 0.999892
-0.012384 -0.012440 0.637408 0.067582 0.063247 0.995707
-0.007065 -0.014109 0.638647 0.201548 0.200251 0.958790
-0.041818 -0.006364 0.638533 -0.217529 0.179089 0.959483
