x y z nx ny nz
-0.034461 -0.051686 0.631421 0.030288 -0.999217 0.025453
-0.027455 -0.051539 0.631701 0.025263 -0.999490 0.019538
-0.019507 -0.051274 0.631192 0.018280 -0.999831 -0.002090
-0.010700 -0.051040 0.631389 0.027885 -0.999414 0.019858
-0.004482 -0.051082 0.631361 0.027563 -0.999468 0.017412
0.004036 -0.050675 0.631533 0.064762 -0.997891 -0.004406
0.010077 -0.049782 0.631308 0.332541 -0.936472 -0.111518
0.017482 -0.041391 0.631692 0.885752 -0.400266 -0.235013
0.014197 -0.039940 0.631631 0.864381 0.195840 -0.463133
0.019139 -0.037962 0.631362 0.915838 -0.258754 -0.307062
0.035732 0.095866 0.631438 0.678544 -0.454457 -0.577102
0.040289 0.110864 0.631856 0.764537 0.227369 -0.603147
0.037255 0.115094 0.631304 0.698819 0.393705 -0.597200
-0.044471 0.126357 0.630873 -0.126112 0.959938 -0.250228
-0.035287 0.127386 0.631189 -0.006159 0.994574 -0.103854
-0.027885 0.127314 0.631240 0.016379 0.990600 -0.135809
-0.020360 0.125510 0.630782 0.127072 0.960570 -0.247302
-0.080114 -0.049061 0.639555 -0.835038 -0.478371 -0.271794
-0.075814 -0.051431 0.637594 -0.326763 -0.931454 -0.160061
-0.067962 -0.052392 0.637290 0.020236 -0.999781 -0.005246
-0.059841 -0.052268 0.636967 0.026210 -0.999637 0.006243
-0.051846 -0.052080 0.636892 0.032014 -0.999280 0.020371
-0.043975 -0.051754 0.636795 0.038516 -0.996723 0.071135
-0.035953 -0.051586 0.636523 0.023983 -0.996356 0.081856
-0.027979 -0.051404 0.636418 0.024230 -0.996278 0.082720
-0.019944 -0.051236 0.636225 0.024193 -0.996104 0.084805
-0.011991 -0.051088 0.636168 0.021383 -0.996136 0.085182
-0.004077 -0.050915 0.636066 0.024124 -0.996923 0.074583
0.003880 -0.050811 0.636137 0.026810 -0.999161 0.030958
0.011199 -0.049878 0.636386 0.356926 -0.931375 -0.071723
-0.080208 -0.046881 0.639272 -0.927926 -0.174942 -0.329163
-0.078751 -0.043590 0.638025 -0.930803 0.212261 -0.297575
0.015147 -0.047408 0.636278 0.644134 -0.749375 -0.153390
0.017666 -0.043740 0.636474 0.843810 -0.481856 -0.236222
-0.076546 -0.036622 0.638012 -0.888173 0.308246 -0.340782
0.014648 -0.037722 0.632579 0.830855 0.222737 -0.509970
0.019661 -0.037152 0.635900 0.963411 -0.053682 -0.262598
-0.073700 -0.029831 0.638375 -0.749783 0.448200 -0.486767
-0.067485 -0.025597 0.639053 -0.225494 0.765365 -0.602800
-0.060172 -0.025224 0.638488 -0.108020 0.843917 -0.525487
-0.052141 -0.028612 0.635417 -0.209206 0.614543 -0.760638
-0.046847 -0.029302 0.634186 -0.110131 0.549110 -0.828462
0.012305 -0.026219 0.635989 0.560665 0.619546 -0.549379
0.017547 -0.029234 0.638472 0.810946 0.440023 -0.385677
-0.059229 -0.023861 0.639773 -0.092551 0.846309 -0.524591
-0.050386 -0.022326 0.638703 -0.292184 0.787470 -0.542697
-0.042804 -0.022755 0.637331 -0.262898 0.904238 -0.336510
-0.036682 -0.020404 0.637946 -0.289123 0.897720 -0.332425
-0.027775 -0.019310 0.638113 -0.081439 0.960190 -0.267212
-0.020360 -0.018614 0.637889 -0.145928 0.919426 -0.365186
-0.013333 -0.017807 0.637679 -0.161717 0.846705 -0.506891
