x y z nx ny nz
0.045059 -0.033600 0.631689 -0.410606 -0.884820 -0.220219
0.050285 -0.034549 0.631222 -0.034392 -0.982083 -0.185286
0.059560 -0.032823 0.631861 0.561148 -0.780301 -0.276121
0.037496 -0.026868 0.631552 -0.694633 -0.691020 -0.199940
0.040986 -0.030094 0.631278 -0.669036 -0.737027 -0.095827
0.062549 -0.029816 0.631472 0.737553 -0.609752 -0.290203
0.064838 -0.025635 0.631107 0.903544 -0.395753 -0.164279
0.029623 -0.019208 0.631289 -0.669551 -0.710037 -0.218055
0.032669 -0.022280 0.631128 -0.684285 -0.714323 -0.146620
0.066177 -0.019209 0.631244 0.964257 0.024189 -0.263864
0.021193 -0.011197 0.631001 -0.668463 -0.720128 -0.185940
0.025989 -0.015421 0.630782 -0.670140 -0.713266 -0.205338
0.063078 -0.011186 0.630695 0.755305 0.579481 -0.306131
0.065198 -0.014495 0.631029 0.871734 0.396145 -0.288357
0.012395 -0.003064 0.630959 -0.758289 -0.630279 -0.166571
0.016688 -0.007268 0.631386 -0.662040 -0.730270 -0.168546
0.055376 -0.004412 0.630344 0.671327 0.701944 -0.237898
0.058249 -0.006271 0.631554 0.655269 0.713974 -0.246707
0.006865 0.005437 0.631392 -0.831247 -0.538108 -0.139526
0.008919 0.002437 0.630717 -0.841122 -0.515759 -0.162809
0.044118 0.007562 0.631612 0.682004 0.701104 -0.208143
0.049781 0.001588 0.631001 0.680850 0.701645 -0.210090
-0.000497 0.015462 0.631243 -0.816791 -0.574507 -0.052856
0.002419 0.011809 0.631123 -0.803618 -0.584461 -0.112264
0.036927 0.014705 0.631410 0.696661 0.703801 -0.139027
0.041346 0.009600 0.630538 0.686426 0.704076 -0.181921
-0.008261 0.023422 0.630929 -0.668417 -0.739440 0.080299
-0.004646 0.020346 0.631085 -0.759709 -0.648484 0.048074
0.022909 0.023348 0.630165 0.521470 0.837017 -0.165749
0.027222 0.021403 0.631107 0.494533 0.853450 -0.164498
0.034207 0.017040 0.630719 0.612129 0.763718 -0.205021
-0.019091 0.031099 0.631105 -0.477668 -0.877946 -0.032317
-0.011349 0.026507 0.631200 -0.578181 -0.814150 0.053541
-0.007972 0.024473 0.630696 -0.647315 -0.760156 0.056090
0.013013 0.030895 0.630941 0.546211 0.833958 -0.078535
0.019486 0.026120 0.631166 0.560344 0.817080 -0.135628
-0.022954 0.036414 0.630888 -0.971374 -0.189926 -0.142688
0.005100 0.037435 0.630925 0.736856 0.672675 0.067473
0.009636 0.033359 0.631757 0.621805 0.781535 0.050613
-0.021585 0.043641 0.631049 -0.921546 0.370799 -0.115159
-0.000851 0.045890 0.631606 0.882417 0.470261 0.013949
0.001257 0.042322 0.631545 0.847755 0.530382 0.002632
-0.023236 0.053514 0.631816 0.674664 0.642720 0.362959
-0.012365 0.052261 0.631076 -0.350151 0.934511 0.063912
-0.003270 0.050356 0.631411 0.730192 0.683099 0.013931
-0.031312 0.061848 0.631865 0.537715 0.564750 0.626035
-0.040716 0.068378 0.631448 -0.087403 -0.061408 0.994279
-0.039398 0.070257 0.631944 0.566470 0.628991 0.532431
-0.051431 0.078305 0.631514 -0.298614 -0.239519 0.923829
-0.059592 0.084876 0.631655 -0.498179 -0.472146 0.727252
-0.073959 0.095997 0.631896 -0.386320 -0.318601 0.865592
-0.067746 0.092599 0.631592 -0.505099 -0.465738 0.726611
-0.062024 0.090623 0.631332 0.305959 0.368969 0.877640
-0.080978 0.103248 0.631537 -0.358673 -0.264540 0.895194
-0.076372 0.100271 0.631487 -0.413090 -0.380130 0.827561
-0.068021 0.098199 0.631311 0.447841 0.510111 0.734319
-0.088739 0.110838 0.631326 -0.233620 -0.065392 0.970127
-0.085610 0.108094 0.631431 -0.314541 -0.191841 0.929656
-0.075800 0.106932 0.631394 0.130215 0.216233 0.967619
-0.090267 0.115839 0.631189 -0.218918 -0.038231 0.974994
-0.086802 0.115297 0.631766 -0.206648 -0.027527 0.978028
-0.089249 0.120325 0.631306 -0.224681 -0.026786 0.974064
0.039628 -0.032369 0.638903 -0.626974 -0.767639 0.132796
