x y z nx ny nz
-0.128056 0.078637 0.631803 -0.988568 0.150230 -0.012794
-0.126217 0.077860 0.631713 0.759340 -0.648862 -0.048799
-0.126158 0.082285 0.631682 -0.984544 -0.154627 -0.082246
-0.021886 0.158296 0.631105 0.927547 0.357148 -0.110008
-0.024253 0.163561 0.631518 0.914385 0.383305 -0.130294
-0.023226 0.162551 0.631838 0.914344 0.382917 -0.131717
0.021291 -0.155277 0.638850 -0.692699 -0.692851 -0.200312
0.028717 -0.156180 0.637299 0.340680 -0.940177 0.002023
0.035693 -0.153495 0.636228 0.362097 -0.932105 -0.008107
0.040520 -0.152199 0.636222 0.359474 -0.933145 -0.004438
0.019767 -0.149013 0.637342 -0.909900 -0.304543 -0.281667
0.039358 -0.151767 0.636777 0.358766 -0.933407 -0.006165
0.043747 -0.150373 0.636366 0.369749 -0.929097 -0.008066
0.049998 -0.147412 0.637804 0.750499 -0.632986 -0.189947
0.015728 -0.140404 0.639183 -0.931352 -0.297926 -0.209343
0.017831 -0.141671 0.637364 -0.921242 -0.307431 -0.238328
0.047544 -0.136981 0.637165 0.887149 0.369931 -0.275893
0.049750 -0.140678 0.638445 0.908478 0.336142 -0.248348
0.013061 -0.131044 0.639088 -0.925024 -0.309374 -0.220496
0.045857 -0.132112 0.638012 0.894541 0.375071 -0.243141
0.048487 -0.135971 0.639729 0.919052 0.373846 -0.124828
0.011088 -0.125805 0.639102 -0.925427 -0.317006 -0.207585
0.042669 -0.123936 0.638658 0.901207 0.374289 -0.218482
0.006924 -0.114634 0.639847 -0.923971 -0.310405 -0.223442
0.009460 -0.118635 0.638442 -0.921768 -0.298003 -0.248068
0.038535 -0.114432 0.638708 0.890027 0.389328 -0.237226
0.040371 -0.118517 0.638695 0.894014 0.384358 -0.230235
0.005260 -0.108956 0.639445 -0.912973 -0.330783 -0.238880
0.035789 -0.108014 0.638891 0.894010 0.385006 -0.229163
0.002891 -0.101472 0.639208 -0.908628 -0.353602 -0.222174
0.029548 -0.098676 0.636662 0.843126 0.346198 -0.411444
0.033004 -0.100908 0.639526 0.873359 0.383920 -0.299751
0.028191 -0.092501 0.637686 0.865965 0.328759 -0.376859
0.025715 -0.084190 0.638449 0.894524 0.330443 -0.301055
-0.009122 -0.073536 0.639477 -0.880952 -0.386477 -0.273055
-0.006983 -0.076915 0.638778 -0.895099 -0.380972 -0.231640
0.022937 -0.074923 0.639511 0.913905 0.341616 -0.219263
0.024018 -0.078731 0.638958 0.912126 0.319855 -0.256357
-0.011379 -0.067111 0.639092 -0.896032 -0.367722 -0.248810
0.019160 -0.067780 0.638037 0.897665 0.331405 -0.290462
-0.013655 -0.059606 0.638046 -0.890777 -0.371062 -0.262352
0.015787 -0.056576 0.639275 0.926800 0.346077 -0.145852
0.017056 -0.060596 0.638549 0.903235 0.323891 -0.281533
-0.019103 -0.049136 0.639636 -0.906916 -0.349729 -0.234930
0.013958 -0.051685 0.639149 0.911500 0.352260 -0.212323
-0.020716 -0.043050 0.638550 -0.895749 -0.352294 -0.271152
0.005974 -0.040918 0.635541 0.812835 0.340190 -0.472833
0.011762 -0.045620 0.639535 0.910179 0.356474 -0.210953
-0.024946 -0.034405 0.639582 -0.888267 -0.345117 -0.303112
