x y z nx ny nz
-0.019620 0.019722 0.631953 0.018100 -0.103769 0.994437
0.004848 0.019110 0.631709 0.669900 -0.698812 -0.250792
0.013820 0.031461 0.631940 0.880195 -0.380629 -0.283510
-0.056505 0.035186 0.631988 -0.919747 -0.317685 -0.230526
-0.050366 0.037982 0.631759 -0.102692 -0.018033 0.994550
-0.046433 0.038727 0.631977 -0.085279 -0.023317 0.996084
-0.000208 0.034653 0.631880 0.059445 -0.043838 0.997269
0.004381 0.037548 0.631883 0.082854 -0.040371 0.995744
0.014884 0.035648 0.631617 0.911330 -0.293662 -0.288513
-0.051508 0.044733 0.631663 -0.130351 -0.002117 0.991466
0.006241 0.044282 0.631805 0.114289 -0.011840 0.993377
0.009399 0.044958 0.631429 0.118176 -0.009401 0.992948
-0.057474 0.051387 0.631500 -0.902851 0.086877 -0.421085
-0.052465 0.051611 0.631525 -0.124473 0.018361 0.992053
0.005930 0.052392 0.631817 0.102545 0.003408 0.994722
0.010038 0.051921 0.631389 0.115127 -0.000962 0.993350
-0.049965 0.059550 0.631543 -0.109845 0.043441 0.992999
-0.046455 0.060973 0.631779 -0.108691 0.047610 0.992935
0.004337 0.061017 0.631769 0.097508 0.047142 0.994118
0.009892 0.061715 0.631219 0.008690 -0.036739 0.999287
-0.049009 0.065711 0.631332 -0.088406 0.046659 0.994991
-0.043719 0.068091 0.631652 -0.065013 0.065508 0.995732
-0.038137 0.070403 0.631854 -0.088419 0.091774 0.991847
-0.002559 0.069948 0.631828 0.083675 0.095375 0.991919
0.003494 0.068116 0.631447 0.052733 0.029535 0.998172
0.009457 0.065839 0.631481 -0.060238 -0.076917 0.995216
-0.042742 0.074216 0.631578 -0.121944 0.132047 0.983714
-0.035813 0.075570 0.631631 -0.061921 0.063096 0.996085
-0.028182 0.077994 0.631785 -0.039990 0.114615 0.992605
-0.019917 0.078473 0.631795 0.022760 0.133490 0.990789
-0.012367 0.076848 0.631701 0.053635 0.107805 0.992724
-0.004194 0.075796 0.631481 0.015575 0.008144 0.999846
0.002217 0.073891 0.631476 -0.046926 -0.061938 0.996976
-0.034006 0.080526 0.631812 0.022642 -0.109020 0.993782
-0.027138 0.081205 0.631663 0.002473 0.012274 0.999922
-0.020349 0.081689 0.631517 0.011166 0.041867 0.999061
-0.011970 0.081418 0.631603 -0.000574 -0.054648 0.998506
-0.005880 0.080679 0.631691 -0.051911 -0.132854 0.989775
-0.026718 0.007590 0.637914 -0.142894 -0.987946 -0.059527
-0.020007 0.007257 0.637522 0.026602 -0.996725 -0.076367
-0.013990 0.007565 0.638032 0.189802 -0.978798 -0.077001
-0.042597 0.014073 0.637612 -0.535081 -0.840206 -0.087986
-0.036056 0.010671 0.637267 -0.375958 -0.922639 -0.085977
-0.029306 0.008618 0.637232 -0.220170 -0.972755 -0.072618
-0.020245 0.008189 0.634741 0.007128 -0.994279 -0.106572
-0.010593 0.008747 0.637085 0.262864 -0.960715 -0.089045
-0.003946 0.011083 0.637140 0.428705 -0.898326 -0.096034
0.002051 0.014495 0.637332 0.578062 -0.810177 -0.097249
-0.050534 0.021155 0.637202 -0.750081 -0.654196 -0.096986
-0.046253 0.017102 0.636302 -0.631381 -0.766008 -0.120791
-0.027055 0.022389 0.632363 -0.010001 -0.090978 0.995803
-0.020258 0.022307 0.632303 0.016671 -0.094252 0.995409
-0.013448 0.022495 0.632138 0.036110 -0.086081 0.995633
0.006123 0.017931 0.636952 0.671145 -0.733958 -0.104257
0.009815 0.021690 0.637427 0.770305 -0.629722 -0.100401
-0.056729 0.030550 0.637250 -0.901260 -0.424626 -0.086164
-0.054430 0.026597 0.636870 -0.850656 -0.516267 -0.099259
-0.042662 0.031818 0.632251 -0.070782 -0.023053 0.997225
-0.034799 0.029219 0.632655 -0.036678 -0.049719 0.998089
-0.027928 0.028633 0.632827 -0.017557 -0.054152 0.998378
-0.019891 0.028648 0.632873 0.016913 -0.062281 0.997915
-0.011859 0.028550 0.632544 0.040873 -0.064155 0.997103
-0.005151 0.029873 0.632372 0.048758 -0.057369 0.997162
0.013679 0.027529 0.637278 0.865909 -0.489209 -0.104293
0.016099 0.031955 0.638306 0.928617 -0.362974 -0.076942
-0.058612 0.036004 0.636909 -0.947719 -0.301100 -0.105678
-0.048824 0.038430 0.632111 -0.095628 -0.018350 0.995248
-0.043167 0.036491 0.632409 -0.070728 -0.024348 0.997198
-0.036461 0.036714 0.632832 -0.044813 -0.023158 0.998727
-0.028144 0.036968 0.633035 -0.014583 -0.025888 0.999559
-0.020384 0.037284 0.633110 0.003941 -0.026268 0.999647
