x y z nx ny nz
-0.009845 -0.024251 0.631547 -0.207499 -0.976651 -0.055648
-0.004229 -0.025089 0.631484 -0.140396 -0.988453 -0.057005
0.002746 -0.025257 0.631289 -0.050275 -0.998137 -0.034567
0.012747 -0.025190 0.631277 0.107999 -0.993689 -0.030321
0.017581 -0.024551 0.631527 0.134362 -0.983908 -0.117782
-0.028873 -0.017549 0.631365 -0.433856 -0.900387 -0.032745
-0.019597 -0.021275 0.631259 -0.315556 -0.947751 -0.046816
-0.011262 -0.023459 0.631253 -0.196998 -0.978268 -0.064672
0.021760 -0.021182 0.631298 0.796943 -0.558841 -0.229302
-0.042398 -0.009558 0.631142 -0.554771 -0.831143 -0.037821
-0.036176 -0.013687 0.631406 -0.497698 -0.866614 -0.035733
-0.031830 -0.015664 0.631432 -0.448278 -0.893809 -0.012356
-0.050909 -0.002228 0.631171 -0.678614 -0.731682 -0.064224
-0.046508 -0.006670 0.631555 -0.650283 -0.753988 -0.092918
0.030371 -0.001919 0.631766 0.960416 0.033334 -0.276566
-0.057852 0.005586 0.631274 -0.791655 -0.607221 -0.067572
-0.055123 0.002116 0.630997 -0.766522 -0.632161 -0.113205
0.028695 0.005525 0.631689 0.832271 0.544248 -0.105444
-0.060521 0.013577 0.631005 -0.912016 0.122264 -0.391507
0.021430 0.014081 0.630785 0.705077 0.707104 -0.053583
0.025313 0.009882 0.631605 0.784657 0.617100 -0.059166
-0.058751 0.019429 0.631258 -0.841077 0.320722 -0.435577
0.012597 0.022143 0.631312 0.602166 0.797525 -0.036740
0.017657 0.018143 0.631278 0.678852 0.733099 -0.041553
-0.056273 0.024546 0.631101 -0.795070 0.352591 -0.493500
-0.054696 0.028914 0.631310 -0.809802 0.369387 -0.455822
-0.001330 0.029919 0.630798 0.434779 0.898597 -0.059082
0.003649 0.027923 0.631193 0.460948 0.885715 -0.055094
0.008769 0.025203 0.631464 0.548496 0.835811 -0.023924
-0.051144 0.035385 0.631207 -0.646403 0.640418 -0.414762
-0.043501 0.038459 0.631163 -0.170276 0.977247 -0.126467
-0.035586 0.038905 0.631139 -0.004255 0.995767 -0.091818
-0.028089 0.038583 0.631314 0.078751 0.994214 -0.073056
-0.020546 0.037245 0.631019 0.180784 0.981474 -0.063447
-0.011522 0.034373 0.631141 0.305898 0.949366 -0.071634
-0.006079 0.032772 0.631169 0.349080 0.934341 -0.071762
-0.010470 -0.024344 0.636285 -0.218840 -0.975263 -0.031163
-0.004157 -0.025381 0.636040 -0.113542 -0.993094 -0.029547
0.004029 -0.025813 0.636132 -0.039949 -0.999025 -0.018809
0.011742 -0.025498 0.635798 0.102075 -0.994443 -0.025762
0.018553 -0.025021 0.636498 0.259324 -0.962585 -0.078616
-0.032949 -0.016309 0.635393 -0.440872 -0.897347 -0.020009
-0.027800 -0.018360 0.635837 -0.427071 -0.903912 -0.023520
-0.020001 -0.021283 0.635695 -0.339430 -0.940158 -0.029850
-0.012571 -0.023482 0.635778 -0.190913 -0.980659 -0.043121
-0.007776 -0.023818 0.636724 -0.162726 -0.986273 -0.028050
0.022643 -0.022248 0.636141 0.752494 -0.642914 -0.142879
0.025065 -0.018293 0.636885 0.887320 -0.449442 -0.103271
-0.042879 -0.009508 0.635979 -0.555247 -0.831386 -0.022331
-0.036297 -0.014008 0.635958 -0.495999 -0.868095 -0.019914
-0.031636 -0.015749 0.637551 -0.434951 -0.899551 -0.040327
0.027974 -0.011985 0.636966 0.914161 -0.396583 -0.083857
-0.051108 -0.002480 0.636251 -0.678237 -0.734477 -0.023188
-0.046887 -0.006767 0.636271 -0.674118 -0.737928 -0.032058
0.030853 -0.004415 0.636597 0.958585 -0.262407 -0.110716
0.032271 -0.000906 0.638463 0.993085 -0.075639 -0.089780
-0.057974 0.005315 0.636105 -0.790788 -0.611263 -0.031804
-0.055232 0.001238 0.636282 -0.765149 -0.641915 -0.049925
0.029788 0.004340 0.636114 0.864390 0.495801 -0.083729
0.032201 0.000862 0.637834 0.984565 0.141100 -0.103552
-0.062109 0.011431 0.636475 -0.944472 -0.304675 -0.123063
0.021775 0.014280 0.636035 0.690144 0.723620 -0.008701
0.025394 0.010351 0.636209 0.785058 0.619082 -0.020536
-0.060796 0.020003 0.636696 -0.930904 0.328656 -0.159381
0.013299 0.021890 0.636308 0.601472 0.798880 -0.004732
0.017702 0.018178 0.635813 0.693346 0.720605 0.000689
-0.057684 0.027529 0.636782 -0.897136 0.415883 -0.148957
-0.055496 0.030922 0.635214 -0.872222 0.440926 -0.211692
-0.001949 0.030860 0.635630 0.449692 0.892224 -0.041394
0.004551 0.028024 0.636111 0.473452 0.880604 -0.019503
0.009004 0.024863 0.635804 0.580886 0.813889 -0.012528
-0.056167 0.032210 0.639494 -0.886449 0.458215 -0.065177
