x y z nx ny nz
-0.074242 -0.018291 0.630778 -0.683888 -0.727808 -0.050915
-0.067925 -0.022062 0.631051 -0.382074 -0.918858 0.098591
-0.059870 -0.022939 0.630881 0.039478 -0.996157 0.078183
-0.051589 -0.021960 0.630541 0.095395 -0.993527 0.061670
-0.044740 -0.021510 0.630595 0.068824 -0.996000 -0.056990
-0.035425 -0.020933 0.630439 0.058367 -0.995845 -0.069901
-0.028394 -0.020537 0.630586 0.058432 -0.996367 -0.061955
-0.019295 -0.020063 0.630617 0.051887 -0.998120 -0.032612
-0.012441 -0.019781 0.630666 0.060230 -0.998006 -0.018862
-0.004438 -0.019596 0.630719 0.071784 -0.997187 -0.021561
0.003360 -0.018439 0.631027 0.349757 -0.934948 -0.059508
0.008002 -0.016060 0.630130 0.651447 -0.753922 -0.084964
-0.078292 -0.011797 0.631048 -0.929755 -0.364464 -0.052178
0.007805 -0.015790 0.631278 0.583902 -0.803721 -0.114415
0.011397 -0.012163 0.631095 0.813929 -0.573593 -0.092252
-0.080112 -0.001501 0.630924 -0.998183 -0.053347 -0.028013
-0.079632 -0.004420 0.631017 -0.994774 -0.098869 -0.025501
0.014647 -0.004124 0.631039 0.991492 -0.116380 -0.058307
-0.080462 0.005070 0.631014 -0.995717 -0.089056 -0.024839
-0.079760 0.001643 0.630977 -0.997046 -0.073805 -0.021274
0.014257 0.003726 0.631036 0.996487 0.078759 -0.028472
-0.080581 0.011372 0.631022 -0.995646 0.079031 -0.049428
-0.079730 0.014974 0.630970 -0.955364 0.287488 -0.068039
0.013782 0.011731 0.631007 0.991064 0.126973 -0.040876
-0.077509 0.019684 0.631062 -0.844749 0.531038 -0.066314
0.011999 0.019670 0.631014 0.918536 0.391600 -0.054236
-0.072957 0.024736 0.631598 -0.563799 0.822425 -0.075811
-0.068239 0.026651 0.631073 -0.299305 0.952397 -0.057927
-0.059958 0.027460 0.630934 -0.048862 0.998724 -0.012788
-0.051900 0.027707 0.630961 -0.048854 0.998799 -0.003617
-0.044302 0.027881 0.631169 -0.044825 0.998968 -0.007320
-0.035754 0.028514 0.630844 -0.068245 0.997275 -0.028023
-0.027977 0.028807 0.630969 -0.064814 0.997008 -0.042111
-0.019491 0.029399 0.630868 -0.075936 0.996490 -0.035234
-0.011737 0.030081 0.631097 -0.090353 0.995379 -0.032517
-0.003981 0.031095 0.631054 0.003866 0.999808 -0.019230
0.003788 0.028872 0.631086 0.426848 0.903318 -0.042629
0.009087 0.024848 0.631020 0.668783 0.741192 -0.058000
-0.063412 -0.024110 0.636227 0.079258 -0.996810 0.009340
-0.074267 -0.018337 0.635936 -0.679777 -0.733385 -0.006988
-0.068104 -0.022030 0.635939 -0.307101 -0.951673 0.002729
-0.060125 -0.023021 0.635987 0.038041 -0.999089 0.019341
-0.052009 -0.022416 0.636325 0.074930 -0.997185 0.002890
