x y z nx ny nz
0.026301 -0.000311 0.631034 0.319994 -0.929936 -0.181172
-0.009406 0.007405 0.630883 -0.256873 -0.964997 -0.052888
-0.003846 0.006407 0.631031 -0.211624 -0.977183 -0.018102
0.003658 0.004870 0.630950 -0.207861 -0.978095 -0.011112
0.011917 0.003067 0.630997 -0.201448 -0.979451 -0.009727
0.020063 0.001358 0.630961 -0.180107 -0.983550 -0.013831
0.028448 0.002432 0.630939 0.698952 -0.712494 -0.061790
-0.012260 0.011520 0.631033 -0.953145 -0.284009 -0.104177
0.031244 0.011438 0.631102 0.979566 -0.201124 0.000819
0.032203 0.014797 0.630904 0.978481 -0.206286 0.004576
-0.011208 0.020177 0.630954 -0.983647 0.179307 -0.016975
0.033140 0.020245 0.630883 0.977143 -0.212572 0.002359
-0.009711 0.027824 0.631001 -0.982882 0.184130 -0.006234
0.034862 0.028289 0.630905 0.976173 -0.216980 0.002364
-0.008526 0.034090 0.630956 -0.978364 0.206316 -0.015438
-0.007454 0.038025 0.631068 -0.957955 0.285994 -0.023037
0.036517 0.036006 0.630897 0.987141 -0.157474 -0.027452
-0.006193 0.043942 0.630943 -0.963353 0.266954 -0.026208
0.006625 0.047522 0.631018 0.202517 0.979044 -0.021454
0.012368 0.046719 0.630872 0.219021 0.975719 -0.001544
0.020294 0.044768 0.631081 0.220116 0.975466 -0.003917
0.028728 0.043191 0.631053 0.227614 0.973745 -0.003669
0.035136 0.041549 0.630860 0.465795 0.882477 -0.065338
-0.003973 0.049743 0.630947 -0.770459 0.632343 -0.080839
0.003457 0.049127 0.631131 0.134444 0.987539 -0.081796
0.010469 0.048067 0.631042 0.219868 0.975512 -0.005933
0.023656 -0.000062 0.636095 -0.067100 -0.997746 -0.000555
0.026549 -0.000360 0.635881 0.405876 -0.913711 -0.019896
-0.009907 0.007399 0.635988 -0.253782 -0.967195 -0.011318
-0.003995 0.006352 0.636042 -0.207412 -0.978206 -0.009703
0.004007 0.004682 0.636008 -0.208396 -0.978015 -0.007609
0.011987 0.002966 0.635973 -0.197987 -0.980182 -0.006688
0.019857 0.001397 0.636021 -0.193666 -0.981053 -0.005249
0.028575 0.002878 0.635774 0.760937 -0.648777 -0.007961
-0.012345 0.011307 0.636017 -0.965301 -0.259678 -0.027598
0.031216 0.011582 0.636049 0.979854 -0.199684 0.003592
0.032160 0.015084 0.635923 0.978700 -0.205238 0.004822
-0.011279 0.019850 0.636048 -0.983499 0.180541 -0.011614
0.031910 0.017136 0.636690 0.978172 -0.207737 0.004910
0.033059 0.020073 0.635794 0.976992 -0.213168 0.006804
-0.009746 0.028038 0.636001 -0.981725 0.189871 -0.012876
0.034776 0.027976 0.636041 0.976537 -0.215265 0.006045
-0.008537 0.034417 0.636178 -0.978156 0.207483 -0.012727
-0.007525 0.038054 0.635742 -0.973210 0.229556 -0.012910
0.036514 0.035912 0.636007 0.987471 -0.157704 0.005538
-0.006213 0.044026 0.636055 -0.966362 0.257007 -0.009631
0.005971 0.047633 0.636053 0.203393 0.979019 -0.012401
0.012598 0.046707 0.636022 0.217168 0.976107 -0.007297
0.020201 0.045002 0.636047 0.221465 0.975165 -0.002516
0.027753 0.043349 0.635973 0.223237 0.974764 -0.000894
0.034884 0.041683 0.636229 0.432619 0.901556 -0.006131
-0.003753 0.049764 0.636044 -0.717423 0.696474 -0.015087
0.003329 0.049035 0.635811 0.155524 0.987605 -0.021177
